SKU,Product Name,Stock,Price,Category,Velocity
ELC-001,Wireless Earbuds Pro,45,99.99,Electronics,12.5
ELC-002,Smart Watch Series X,8,299.99,Electronics,15.2
ELC-003,USB-C Power Bank,2,49.99,Accessories,22.1
ELC-004,Bluetooth Speaker Mini,67,79.99,Audio,8.7
ELC-005,Phone Case Clear,234,19.99,Accessories,3.8
ELC-006,Wireless Charger,156,39.99,Electronics,8.1
ELC-007,Gaming Mouse,89,59.99,Gaming,11.3
ELC-008,Mechanical Keyboard,23,149.99,Gaming,6.7
ELC-009,USB Cable 6ft,342,9.99,Accessories,25.4
ELC-010,Screen Protector,178,14.99,Accessories,18.9